Image_Name,TrOCR_CER,TrOCR_WER,TrOCR_Time,TrOCR_RAM_MB,TrOCR_CPU_%,Tess_Raw_CER,Tess_Raw_WER,Tess_Raw_Time,Tess_Raw_RAM_MB,Tess_Raw_CPU_%,Tess_Proc_CER,Tess_Proc_WER,Tess_Proc_Time,Tess_Proc_RAM_MB,Tess_Proc_CPU_%,EasyOCR_CER,EasyOCR_WER,EasyOCR_Time,EasyOCR_RAM_MB,EasyOCR_CPU_%,PaddleOCR_CER,PaddleOCR_WER,PaddleOCR_Time,PaddleOCR_RAM_MB,PaddleOCR_CPU_%,PLATTER_CER,PLATTER_WER,PLATTER_Time (s),PLATTER_RAM (MB),PLATTER_CPU (%),PLATTER_Confidence,Bhaasha_CER,Bhaasha_WER,Bhaasha_Time (s),Bhaasha_RAM (MB),Bhaasha_CPU (%),Bhaasha_Confidence
eng_sample_01.jpg,100.0,100.0,1.24,683.5,49.82,70.22,98.99,3.97,1.38,70.95,65.81,100.0,1.84,1.88,78.97,94.3,100.0,47.38,64.52,50.89,100.0,100.0,62.23,172.56,52.79,0.864,1.0,6.17,124.62,53.7,0.444,0.0,0.0,0.0,0.0,0.0,0.0
eng_sample_02.jpg,100.0,100.0,0.78,0.25,58.09,21.88,54.29,1.51,0.0,68.73,65.62,100.0,1.66,1.0,77.54,83.81,97.14,21.0,0.84,50.86,100.0,100.0,15.88,1.08,51.63,0.898,1.0,5.94,26.14,61.6,0.395,0.0,0.0,0.0,0.0,0.0,0.0
eng_sample_03.jpg,100.0,100.0,0.89,0.0,46.58,5.96,14.84,3.03,0.0,75.87,59.81,93.55,2.78,0.75,70.73,47.78,65.81,48.91,9.09,52.58,100.0,100.0,28.78,5.66,52.18,0.966,1.0,8.5,11.38,56.1,0.423,0.0,0.0,0.0,0.0,0.0,0.0
eng_sample_04.jpg,100.0,100.0,0.92,0.0,46.78,34.02,51.3,2.28,0.0,77.93,59.54,100.0,3.77,0.0,84.14,61.34,78.26,40.66,0.0,52.63,100.0,100.0,32.61,26.48,53.4,0.966,1.0,6.95,65.02,54.4,0.398,0.0,0.0,0.0,0.0,0.0,0.0
eng_sample_05.jpeg,100.0,100.0,1.58,1.5,75.01,65.3,100.0,1.74,0.25,83.78,78.54,100.0,1.19,0.0,73.15,79.45,96.88,12.87,0.0,55.67,100.0,100.0,10.06,0.41,61.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hin_sample_01.jpg,100.0,100.0,1.01,0.0,45.84,72.3,93.04,3.28,0.0,71.3,74.74,100.0,2.54,0.0,84.55,88.5,97.39,60.68,0.41,64.16,100.0,100.0,60.99,26.21,57.46,0.545,0.939,7.14,73.82,50.9,0.599,0.537,0.965,27.62,2022.18,233.58,0.0
hin_sample_02.jpg,99.35,100.0,1.25,0.0,58.12,66.88,85.19,3.71,0.0,81.71,79.19,99.38,4.84,0.0,84.24,72.91,91.36,41.66,10.47,64.36,100.0,100.0,41.06,1.56,82.28,0.516,0.84,8.07,53.05,51.3,0.587,0.667,1.0,27.86,1945.18,245.09,0.0
hin_sample_03.jpg,99.5,100.0,1.06,0.0,62.23,49.62,81.93,4.47,0.0,87.25,65.04,90.96,3.68,0.0,83.92,79.2,86.75,47.63,0.0,64.16,100.0,100.0,31.45,20.72,67.3,0.317,0.753,7.72,10.89,53.4,0.608,0.434,0.729,26.53,1917.39,246.57,0.0
hin_sample_04.jpg,99.37,100.0,0.95,0.0,48.63,60.68,86.34,4.23,0.0,86.84,100.0,100.0,26.11,0.0,90.57,76.61,88.82,33.81,27.18,51.88,100.0,100.0,24.41,1.54,52.26,0.607,0.95,7.93,15.14,51.0,0.512,0.614,0.907,23.13,1888.38,242.12,0.0
hin_sample_05.jpg,99.08,100.0,0.89,0.0,46.19,84.89,96.64,1.81,0.0,64.47,100.0,100.0,9.47,0.0,80.86,90.84,97.32,26.29,49.12,52.27,100.0,100.0,26.97,0.0,52.18,0.915,1.0,8.01,51.06,50.8,0.462,0.656,0.966,25.63,1929.52,246.39,0.0
hin_sample_06.jpg,91.07,100.0,1.09,0.0,48.55,12.5,30.0,0.73,0.0,41.89,100.0,100.0,21.58,0.0,93.66,57.14,80.0,7.32,0.77,50.74,100.0,100.0,14.91,0.25,56.77,0.536,0.9,3.81,42.88,51.1,0.508,0.571,0.8,13.26,1491.91,218.29,0.0
hin_sample_07.jpg,97.22,100.0,1.09,0.0,48.64,61.11,85.71,1.1,0.0,39.41,100.0,100.0,18.12,0.0,92.0,61.11,85.71,7.81,0.0,51.48,100.0,100.0,16.21,0.06,49.48,0.194,0.429,3.67,0.32,51.4,0.605,0.111,0.429,12.98,1404.43,200.71,0.0
hin_sample_08.jpg,98.29,100.0,0.97,0.0,47.56,52.0,89.19,1.5,0.0,60.25,100.0,100.0,34.86,0.0,90.53,73.71,86.49,14.51,41.61,51.06,100.0,100.0,18.27,0.0,52.19,0.526,0.811,6.14,47.95,52.9,0.539,0.389,0.595,15.0,1503.57,220.02,0.0
hin_sample_09.jpg,99.6,100.0,0.91,0.0,46.68,77.03,100.0,3.22,0.0,83.19,100.0,100.0,16.27,0.0,92.01,91.09,96.36,21.71,0.0,50.78,100.0,100.0,38.7,31.17,64.95,0.892,1.0,9.3,0.0,51.9,0.451,0.625,0.955,21.54,1926.39,230.86,0.0
hin_sample_10.jpg,98.47,100.0,0.9,0.0,49.4,80.46,100.0,1.6,0.0,70.9,79.31,100.0,2.42,0.0,73.06,67.43,88.89,19.11,0.0,53.29,100.0,100.0,27.49,23.64,70.88,0.731,0.907,4.73,63.29,51.0,0.603,0.685,1.0,17.32,1805.45,218.93,0.0
hin_sample_11.jpg,96.75,100.0,1.24,0.0,66.25,100.0,100.0,3.39,0.0,86.38,100.0,100.0,3.36,0.0,86.2,83.12,90.91,20.4,0.0,68.15,100.0,100.0,26.48,30.6,66.61,0.468,0.818,4.4,26.77,51.2,0.584,0.656,1.0,15.38,1689.73,223.08,0.0
hin_sample_12.jpg,98.22,100.0,1.13,0.0,63.77,56.94,96.88,2.48,0.0,79.07,100.0,100.0,15.53,0.0,94.52,77.22,95.31,31.92,0.0,66.23,100.0,100.0,28.97,50.29,64.88,0.724,0.938,5.42,21.79,51.2,0.553,0.575,0.969,16.28,1915.26,228.76,0.0
hin_sample_13.jpg,100.0,100.0,1.18,0.0,76.3,81.25,100.0,1.87,0.0,66.22,100.0,100.0,23.47,0.0,95.16,60.42,88.89,10.79,0.0,62.44,100.0,100.0,21.29,29.98,57.58,0.542,1.0,3.67,0.0,51.6,0.49,0.438,0.556,12.17,1405.0,210.44,0.0
hin_sample_14.jpg,98.62,100.0,1.11,0.0,49.15,80.34,98.59,1.28,0.0,76.2,87.24,100.0,2.41,0.0,84.65,80.69,91.55,16.55,29.95,51.83,100.0,100.0,11.6,0.18,51.11,0.71,0.958,4.67,0.34,51.0,0.465,0.693,0.972,14.48,1483.9,221.17,0.0
hin_sample_15.jpg,98.56,100.0,0.97,0.0,46.92,53.59,100.0,2.17,0.0,75.85,83.01,100.0,3.62,0.0,83.94,64.35,83.72,32.12,0.0,54.42,100.0,100.0,28.27,7.77,52.37,0.574,0.895,5.85,46.79,50.8,0.558,0.423,0.837,17.8,1920.23,231.2,0.0
hin_sample_16.jpg,99.57,100.0,1.09,0.0,47.95,84.76,100.0,2.11,0.0,75.67,100.0,100.0,24.85,0.0,90.14,78.54,91.35,19.77,24.62,51.26,100.0,100.0,18.1,4.1,50.6,0.695,1.0,4.59,4.72,50.5,0.323,0.725,1.0,15.79,1637.7,225.11,0.0
hin_sample_17.jpg,98.53,100.0,1.1,0.0,47.43,58.53,100.0,1.99,0.0,74.7,100.0,100.0,4.21,0.0,86.2,58.24,77.22,32.11,0.0,51.12,100.0,100.0,28.39,0.15,55.36,0.348,0.772,5.45,5.55,50.9,0.666,0.442,0.835,16.69,1908.04,229.52,0.0
hin_sample_18.jpg,99.25,100.0,1.08,0.0,47.82,77.8,100.0,3.36,0.0,78.81,100.0,100.0,42.69,0.0,89.58,71.08,91.45,40.07,0.0,51.17,100.0,100.0,30.14,0.17,51.52,0.963,1.0,7.69,0.0,51.2,0.359,0.627,0.915,20.31,1909.09,237.14,0.0
hin_sample_19.jpg,98.43,100.0,1.06,0.0,47.81,67.72,100.0,1.03,0.0,55.93,73.23,96.77,1.19,0.0,67.04,91.34,100.0,15.21,25.61,55.97,100.0,100.0,20.03,4.38,54.96,1.0,1.0,5.24,38.61,50.6,0.491,0.795,1.0,16.79,1776.64,226.54,0.0
hin_sample_20.jpg,96.86,100.0,1.12,0.0,50.12,67.45,95.0,1.75,0.0,76.3,79.61,96.67,1.38,0.0,71.71,85.1,88.33,14.61,0.0,51.08,100.0,100.0,14.78,51.62,51.86,0.643,0.917,4.52,2.14,50.8,0.527,0.82,0.933,17.19,1937.26,225.84,0.0
hin_sample_21.jpg,98.65,100.0,0.99,0.0,47.51,78.38,98.18,2.14,0.0,78.7,84.23,96.36,0.72,0.0,50.29,78.38,85.45,16.44,0.0,50.86,100.0,100.0,21.35,30.55,52.14,0.523,0.891,5.43,3.15,58.8,0.576,0.653,0.891,16.19,1795.12,226.71,0.0
hin_sample_22.jpg,100.0,100.0,1.09,0.0,48.07,71.05,91.3,0.8,0.0,54.7,100.0,100.0,2.17,0.0,83.28,40.35,52.17,7.92,0.1,56.91,100.0,100.0,9.73,0.23,55.52,0.412,0.652,4.06,0.0,51.2,0.651,0.605,0.783,11.96,1463.08,212.28,0.0
hin_sample_23.jpg,98.78,100.0,0.93,0.0,47.29,69.8,96.43,1.45,0.0,73.3,78.78,100.0,1.29,0.0,71.58,73.47,92.86,21.37,13.84,50.87,100.0,100.0,20.44,0.14,52.25,0.759,0.946,4.99,29.05,50.8,0.507,0.592,0.893,15.88,1767.91,224.69,0.0
hin_sample_24.jpg,99.22,100.0,0.95,0.0,47.58,80.78,100.0,3.56,0.0,86.39,100.0,100.0,21.55,0.0,95.39,81.96,93.1,18.09,0.0,53.1,100.0,100.0,21.47,30.66,50.87,0.388,0.724,5.06,1.71,51.1,0.607,0.643,0.931,16.59,1836.36,227.94,0.0
hin_sample_25.jpg,100.0,100.0,0.98,0.0,47.63,70.87,100.0,0.89,0.0,55.87,100.0,100.0,28.2,0.0,89.89,50.49,75.0,13.52,0.0,50.65,100.0,100.0,18.98,0.0,67.22,0.427,0.806,4.44,10.39,50.8,0.559,0.519,0.917,15.09,1518.85,222.66,0.0
AVERAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.643,0.891,5.85,26.78,52.21,0.0,0.58,0.871,17.98,1751.94,227.03,0.0
